AWSSplunk-IN-TCP-9992-9998,in,TCP,9992-9998,10.0.0.0/8
AWSSPLUNK-OUT-9992-9998,out,TCP,9992-9998,10.162.0.0/19
DUO-OUT-TCP-80,out,TCP,80,*.duosecurity.com.
EnCase-IN-TCP-6624,in,TCP,6624,10.158.34.177/32;10.158.34.178/32;10.181.2.24/32
HTTP-OUT-TCP-443,out,TCP,443,*.intuit.net.
HTTP-OUT-TCP-80,out,TCP,80,*.intuit.net.
HTTPS-OUT-TCP-443-JIRA,out,TCP,443,10.129.73.51/32
ICMP-IN,in,ICMP,N/A,10.0.0.0/8
ICMP-OUT,out,ICMP,N/A,10.0.0.0/8
NTP-OUT-UDP-123,out,UDP,123,10.158.34.72/32
PROXY-IN-TCP-81,in,TCP,81,Any
RSYSLOG-OUT-TCP-514,out,TCP,514,10.0.0.0/8
Salt-OUT-TCP-4505-4506,out,TCP,4505-4506,salt.corp.intuit.net.
SMTP-OUT-TCP-25,out,TCP,25,*.data.ie.intuit.net.
SNMP-IN-UDP-161,in,UDP,161,10.159.2.117/32;10.159.2.118/32;10.159.2.156/32;10.159.2.157/32;10.159.2.183/32;10.159.2.184/32;10.159.2.185/32;10.159.2.57/32;10.159.2.82/32;10.159.2.83/32;10.181.2.34/32;10.181.2.35/32
SNMP-OUT-UDP-162,out,UDP,162,10.0.0.0/8
SplunkFWD-OUT-TCP-9997,out,TCP,9997,*.corp.intuit.net.
SQUID-IN-TCP-3128,in,TCP,3128,10.153.212.255/32;10.159.142.128/25;10.183.150.128/25
ssh-in,in,TCP,N/A,10.145.19.48/32;10.158.150.0/23;10.168.2.100/32;10.181.70.0/23
Tanium-IN-TCP-17472,in,TCP,17472,10.158.34.169/32;10.158.34.196/32;10.180.194.21/32
Tanium-OUT-TCP-17472,out,TCP,17472,pprdtanas300.corp.intuit.net.
